,name,subsystem,reaction,complex
EX_gly_asn__L_e,,,gly_asn__L_e --> ,
EX_gly_asp__L_e,,,gly_asp__L_e --> ,
EX_gly_e,,,gly_e --> ,
EX_gly_gln__L_e,,,gly_gln__L_e --> ,
EX_gly_glu__L_e,,,gly_glu__L_e --> ,
EX_gly_met__L_e,,,gly_met__L_e --> ,
EX_gly_pro__L_e,,,gly_pro__L_e --> ,
EX_glyb_e,,,glyb_e --> ,
EX_glyc3p_e,,,glyc3p_e --> ,
EX_glyc_e,,,glyc_e --> ,
EX_glyclt_e,,,glyclt_e --> ,
EX_glycogen_e,,,glycogen_e --> ,
EX_gmp_e,,,gmp_e --> ,
EX_gsn_e,,,gsn_e --> ,
EX_gthox_e,,,gthox_e --> ,
EX_gthrd_e,,,gthrd_e --> ,
EX_gua_e,,,gua_e --> ,
EX_h2o2_e,,,h2o2_e --> ,
EX_h2o_e,,,h2o_e <=> ,
EX_h_e,,,h_e <=> ,
EX_hexs_e,,,hexs_e --> ,
EX_hg2_e,,,hg2_e --> ,
EX_his__L_e,,,his__L_e --> ,
EX_hqn_e,,,hqn_e --> ,
EX_hxan_e,,,hxan_e --> ,
EX_icit_e,,,icit_e --> ,
EX_ile__L_e,,,ile__L_e --> ,
EX_inost_e,,,inost_e --> ,
EX_ins_e,,,ins_e --> ,
EX_istnt_e,,,istnt_e --> ,
EX_k_e,,,k_e <=> ,
EX_lac__L_e,,,lac__L_e --> ,
EX_lanth_e,,,lanth_e --> ,
EX_lcts_e,,,lcts_e --> ,
EX_leu__L_e,,,leu__L_e --> ,
EX_lipt_e,,,lipt_e --> ,
EX_lys__L_e,,,lys__L_e --> ,
EX_madg_e,,,madg_e --> ,
EX_mal__D_e,,,mal__D_e --> ,
EX_mal__L_e,,,mal__L_e --> ,
EX_malt_e,,,malt_e --> ,
EX_malttr_e,,,malttr_e --> ,
EX_man1p_e,,,man1p_e --> ,
EX_man6p_e,,,man6p_e --> ,
EX_man_e,,,man_e --> ,
EX_mbdg_e,,,mbdg_e --> ,
EX_melib_e,,,melib_e --> ,
EX_meoh_e,,,meoh_e --> ,
EX_met__D_e,,,met__D_e --> ,
EX_met_L_ala__L_e,,,met_L_ala__L_e --> ,
EX_met__L_e,,,met__L_e --> ,
EX_metox__R_e,,,metox__R_e --> ,
EX_metox_e,,,metox_e --> ,
EX_mg2_e,,,mg2_e <=> ,
EX_mn2_e,,,mn2_e <-- ,
EX_mnl_e,,,mnl_e --> ,
EX_mobd_e,,,mobd_e --> ,
EX_mops_e,,,mops_e --> ,
EX_mso3_e,,,mso3_e --> ,
EX_na1_e,,,na1_e <=> ,
EX_nac_e,,,nac_e --> ,
EX_nh4_e,,,nh4_e <=> ,
EX_ni2_e,,,ni2_e --> ,
EX_no2_e,,,no2_e --> ,
EX_no3_e,,,no3_e --> ,
EX_o2_e,,,o2_e <-- ,
EX_orn__L_e,,,orn__L_e --> ,
EX_pala_e,,,pala_e --> ,
EX_pep_e,,,pep_e --> ,
EX_phe__L_e,,,phe__L_e --> ,
EX_pi_e,,,pi_e <=> ,
EX_pnto__R_e,,,pnto__R_e --> ,
EX_ppa_e,,,ppa_e --> ,
EX_ppi_e,,,ppi_e --> ,
EX_pro__L_e,,,pro__L_e --> ,
EX_prolb_e,,,prolb_e --> ,
EX_pser__D_e,,,pser__D_e --> ,
EX_pser__L_e,,,pser__L_e --> ,
EX_pur_e,,,pur_e --> ,
EX_pyr_e,,,pyr_e --> ,
EX_raffin_e,,,raffin_e --> ,
EX_rib__D_e,,,rib__D_e --> ,
EX_ribflv_e,,,ribflv_e --> ,
EX_rmn_e,,,rmn_e --> ,
EX_salcn_e,,,salcn_e --> ,
EX_sbt__D_e,,,sbt__D_e --> ,
EX_ser__D_e,,,ser__D_e --> ,
EX_ser__L_e,,,ser__L_e --> ,
EX_so4_e,,,so4_e <=> ,
EX_spmd_e,,,spmd_e --> ,
EX_srb__L_e,,,srb__L_e --> ,
EX_starch_e,,,starch_e --> ,
EX_subtilisin_e,,,subtilisin_e --> ,
EX_succ_e,,,succ_e --> ,
EX_sucr_e,,,sucr_e --> ,
EX_sula_e,,,sula_e --> ,
EX_taur_e,,,taur_e --> ,
EX_thiog_e,,,thiog_e --> ,
EX_thr__L_e,,,thr__L_e --> ,
EX_thym_e,,,thym_e --> ,
EX_thymd_e,,,thymd_e --> ,
EX_tmp_e,,,tmp_e --> ,
EX_tre_e,,,tre_e --> ,
EX_trp__L_e,,,trp__L_e --> ,
EX_tyr__L_e,,,tyr__L_e --> ,
EX_ump_e,,,ump_e --> ,
EX_ura_e,,,ura_e --> ,
EX_urate_e,,,urate_e --> ,
EX_urea_e,,,urea_e --> ,
EX_uri_e,,,uri_e --> ,
EX_val__L_e,,,val__L_e --> ,
EX_xan_e,,,xan_e --> ,
EX_xtsn_e,,,xtsn_e --> ,
EX_xyl__D_e,,,xyl__D_e --> ,
EX_zn2_e,,,zn2_e <-- ,
EX_f6p_e,,,f6p_e --> ,
EX_cbl1_e,,,cbl1_e <=> ,
EX_4fe4s_e,,,4fe4s_e <-- ,
4FE4St,,,4fe4s_e --> 4fe4s_c,
EX_2fe2s_e,,,2fe2s_e <-- ,
2FE2St,,,2fe2s_e --> 2fe2s_c,
EX_udcpp_e,,,udcpp_e <-- ,
UDCPPt,,,udcpp_e --> udcpp_c,
EX_pydx5p_e,,,pydx5p_e <-- ,
PYDX5Pt,,,pydx5p_e --> pydx5p_c,
EX_3fe4s_e,,,3fe4s_e <-- ,
3FE4St,,,3fe4s_e --> 3fe4s_c,
EX_cl_e,,,cl_e <-- ,
CLt,,,cl_e --> cl_c,
EX_sheme_e,,,sheme_e <-- ,
SHEMEt,,,sheme_e --> sheme_c,
EX_cu_e,,,cu_e <-- ,
EX_bmocogdp_e,,,bmocogdp_e <-- ,
BMOCOGDPt,,,bmocogdp_e --> bmocogdp_c,
EX_dpm_e,,,dpm_e <-- ,
DPMt,,,dpm_e --> dpm_c,
EX_thmpp_e,,,thmpp_e <-- ,
THMPPt,,,thmpp_e --> thmpp_c,
transcription_TU8J2_1243_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.00273829471591344*mu + 0.00107204238128011 CPLX8J2-52 + 189.0 atp_c + 122 ctp_c + 111 gtp_c + 3.0 h2o_c + 154 utp_c --> RNA_BSU23050 + 3.0 adp_c + 3.0 h_c + 183.35422381299998 mRNA_biomass + 3.0 pi_c + 573 ppi_c,
transcription_TU8J2_569_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.0154644357778288*mu + 0.00605432660701996 CPLX8J2-52 + 815.0 atp_c + 820 ctp_c + 641 gtp_c + 3.0 h2o_c + 963 utp_c --> RNA_BSU29180 + RNA_BSU29190 + 3.0 adp_c + 3.0 h_c + 865.0174849580001 mRNA_biomass + 3.0 pi_c + 3236 ppi_c,
transcription_TU8J2_257_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.0540156111238561*mu + 0.0211471117549897 CPLX8J2-52 + 2696.0 atp_c + 2933 ctp_c + 2445 gtp_c + 3.0 h2o_c + 3232 utp_c --> RNA_BSU39670 + RNA_BSU39700 + RNA_BSU39710 + RNA_BSU39720 + RNA_BSU39730 + RNA_BSU39740 + RNA_BSU39750 + RNA_BSU39760 + 3.0 adp_c + 3.0 h_c + 2963.2017227510005 mRNA_biomass + 3.0 pi_c + 11303 ppi_c,
transcription_TU8J2_677_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.00601660217684994*mu + 0.00235549975223675 CPLX8J2-52 + 301.0 atp_c + 308 ctp_c + 253 gtp_c + 3.0 h2o_c + 400 utp_c --> RNA_BSU24310 + 3.0 adp_c + 3.0 h_c + 271.534051012 mRNA_biomass + 3.0 pi_c + 1259 ppi_c,
transcription_TU8J2_1099_from_BSU15330-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.00797594045525222*mu + 0.00312258068823125 CPLX8J2-60 + 453.0 atp_c + 425 ctp_c + 345 gtp_c + 3.0 h2o_c + 449 utp_c --> RNA_BSU03930 + 3.0 adp_c + 3.0 h_c + 249.840601026 mRNA_biomass + 3.0 pi_c + 1669 ppi_c,
transcription_TU8J2_1223_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.00736902347633249*mu + 0.00288497269098417 CPLX8J2-52 + 369.0 atp_c + 432 ctp_c + 330 gtp_c + 3.0 h2o_c + 414 utp_c --> RNA_BSU10270 + 3.0 adp_c + 3.0 h_c + 491.443913982 mRNA_biomass + 3.0 pi_c + 1542 ppi_c,
transcription_TU8J2_885_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.00391389768295481*mu + 0.00153229094287681 CPLX8J2-52 + 198.0 atp_c + 215 ctp_c + 167 gtp_c + 3.0 h2o_c + 242 utp_c --> RNA_BSU12910 + 3.0 adp_c + 3.0 h_c + 260.725086639 mRNA_biomass + 3.0 pi_c + 819 ppi_c,
transcription_TU8J2_1562_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.00546225281027759*mu + 0.00213847197522367 CPLX8J2-52 + 290.0 atp_c + 297 ctp_c + 233 gtp_c + 3.0 h2o_c + 326 utp_c --> RNA_BSU35660 + 3.0 adp_c + 3.0 h_c + 364.211819003 mRNA_biomass + 3.0 pi_c + 1143 ppi_c,
transcription_TU8J2_1084_from_BSU04730-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.00824355739083888*mu + 0.00322735271851342 CPLX8J2-56 + 370.0 atp_c + 467 ctp_c + 399 gtp_c + 3.0 h2o_c + 492 utp_c --> RNA_BSU04340 + 3.0 adp_c + 3.0 h_c + 549.9701269450001 mRNA_biomass + 3.0 pi_c + 1725 ppi_c,
transcription_TU8J2_54_from_BSU04730-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.0174620050470291*mu + 0.00683637497591191 CPLX8J2-56 + 938.0 atp_c + 864 ctp_c + 682 gtp_c + 3.0 h2o_c + 1173 utp_c --> RNA_BSU25200 + 3.0 adp_c + 3.0 h_c + 354.509288356 mRNA_biomass + 3.0 pi_c + 3654 ppi_c,
transcription_TU8J2_228_from_BSU34200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.0181406051336953*mu + 0.00710204690984171 CPLX8J2-57 + 981.0 atp_c + 994 ctp_c + 824 gtp_c + 3.0 h2o_c + 1000 utp_c --> RNA_BSU40320 + RNA_BSU40330 + RNA_BSU40340 + 3.0 adp_c + 3.0 h_c + 1118.042498701 mRNA_biomass + 3.0 pi_c + 3796 ppi_c,
transcription_TU8J2_423_from_BSU16470-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.0190151390482017*mu + 0.00744442693737095 CPLX8J2-54 + 1088.0 atp_c + 809 ctp_c + 699 gtp_c + 3.0 h2o_c + 1386 utp_c --> RNA_BSU35620 + 3.0 adp_c + 3.0 h_c + 474.844348891 mRNA_biomass + 3.0 pi_c + 3979 ppi_c,
transcription_TU8J2_648_from_MONOMER8J2-6,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.233027446662078*mu + 0.0912302453682037 CPLX8J2-60 + 16053.0 atp_c + 8364 ctp_c + 10592 gtp_c + 3.0 h2o_c + 13756 utp_c --> RNA_BSU25760 + RNA_BSU26390 + 3.0 adp_c + 3.0 h_c + 281.79852744799996 mRNA_biomass + 3.0 pi_c + 48762 ppi_c,
transcription_TU8J2_1304_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.00538101195483164*mu + 0.00210666618031659 CPLX8J2-52 + 265 atp_c + 242 ctp_c + 234 gtp_c + 385 utp_c --> RNA_BSU28850 + RNA_BSU28860 + RNA_BSU28870 + 345.105944063 mRNA_biomass + 1126 ppi_c,
transcription_TU8J2_981_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.00970111391501619*mu + 0.00379798609772884 CPLX8J2-52 + 609.0 atp_c + 546 ctp_c + 469 gtp_c + 3.0 h2o_c + 409 utp_c --> RNA_BSU08450 + RNA_BSU08460 + 3.0 adp_c + 3.0 h_c + 652.4475263940001 mRNA_biomass + 3.0 pi_c + 2030 ppi_c,
transcription_TU8J2_199_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.000645147969717825*mu + 0.000252575430144529 CPLX8J2-52 + 31.0 atp_c + 29 ctp_c + 30 gtp_c + 3.0 h2o_c + 48 utp_c --> RNA_BSU41060 + 3.0 adp_c + 3.0 h_c + 42.984078714999995 mRNA_biomass + 3.0 pi_c + 135 ppi_c,
transcription_TU8J2_1040_from_BSU04730-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.00706795442379751*mu + 0.00276710415691672 CPLX8J2-56 + 467.0 atp_c + 355 ctp_c + 327 gtp_c + 3.0 h2o_c + 333 utp_c --> RNA_BSU06660 + 3.0 adp_c + 3.0 h_c + 474.435578759 mRNA_biomass + 3.0 pi_c + 1479 ppi_c,
transcription_TU8J2_497_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.0107381295404145*mu + 0.00420397771507226 CPLX8J2-52 + 629.0 atp_c + 530 ctp_c + 467 gtp_c + 3.0 h2o_c + 624 utp_c --> RNA_BSU31350 + 3.0 adp_c + 3.0 h_c + 431.625583393 mRNA_biomass + 3.0 pi_c + 2247 ppi_c,
transcription_TU8J2_2986_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.00715875302694298*mu + 0.00280265181004818 CPLX8J2-52 + 383.0 atp_c + 335 ctp_c + 289 gtp_c + 3.0 h2o_c + 494 utp_c --> RNA_BSU16920 + 3.0 adp_c + 3.0 h_c + 186.493054102 mRNA_biomass + 3.0 pi_c + 1498 ppi_c,
transcription_TU8J2_827_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.00247545665417654*mu + 0.000969141280110117 CPLX8J2-52 + 134.0 atp_c + 110 ctp_c + 108 gtp_c + 3.0 h2o_c + 169 utp_c --> RNA_BSU15990 + 3.0 adp_c + 3.0 h_c + 87.07794595299998 mRNA_biomass + 3.0 pi_c + 518 ppi_c,
transcription_TU8J2_721_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.00613607402309398*mu + 0.00240227298004129 CPLX8J2-52 + 316.0 atp_c + 333 ctp_c + 238 gtp_c + 3.0 h2o_c + 400 utp_c --> RNA_BSU22960 + 3.0 adp_c + 3.0 h_c + 407.997889384 mRNA_biomass + 3.0 pi_c + 1284 ppi_c,
transcription_TU8J2_1166_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.00384221457520838*mu + 0.00150422700619408 CPLX8J2-52 + 194.0 atp_c + 193 ctp_c + 168 gtp_c + 3.0 h2o_c + 252 utp_c --> RNA_BSU02090 + 3.0 adp_c + 3.0 h_c + 256.11626002400004 mRNA_biomass + 3.0 pi_c + 804 ppi_c,
transcription_TU8J2_184_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.0108432647651092*mu + 0.00424513815554026 CPLX8J2-52 + 565 atp_c + 540 ctp_c + 494 gtp_c + 670 utp_c --> RNA_BSU13550 + RNA_BSU13560 + 719.9934664759999 mRNA_biomass + 2269 ppi_c,
transcription_TU8J2_17_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.00420063011394051*mu + 0.00164454668960771 CPLX8J2-52 + 223.0 atp_c + 198 ctp_c + 180 gtp_c + 3.0 h2o_c + 281 utp_c --> RNA_BSU35670 + 3.0 adp_c + 3.0 h_c + 280.134821139 mRNA_biomass + 3.0 pi_c + 879 ppi_c,
