




Analysis Type:	PANTHER Overrepresentation Test (Released 20231017)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-01-05
Analyzed List:	FS_True_MC_True_VG_True.txt (Bacillus subtilis)
Reference List:	reference.txt (Bacillus subtilis)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	reference.txt - REFLIST (883)	FS_True_MC_True_VG_True.txt (133)	FS_True_MC_True_VG_True.txt (expected)	FS_True_MC_True_VG_True.txt (over/under)	FS_True_MC_True_VG_True.txt (fold Enrichment)	FS_True_MC_True_VG_True.txt (raw P-value)	FS_True_MC_True_VG_True.txt (FDR)
localization (GO:0051179)	202	7	30.43	-	.23	2.43E-07	1.02E-05
establishment of localization (GO:0051234)	202	7	30.43	-	.23	2.43E-07	9.95E-06
transport (GO:0006810)	202	7	30.43	-	.23	2.43E-07	9.67E-06
carbohydrate metabolic process (GO:0005975)	91	3	13.71	-	.22	1.16E-03	1.75E-02
organic acid biosynthetic process (GO:0016053)	158	5	23.80	-	.21	5.78E-06	1.97E-04
carbohydrate derivative metabolic process (GO:1901135)	144	4	21.69	-	.18	5.21E-06	1.82E-04
transmembrane transport (GO:0055085)	186	5	28.02	-	.18	8.55E-08	3.82E-06
small molecule biosynthetic process (GO:0044283)	204	5	30.73	-	.16	6.90E-09	3.95E-07
organophosphate metabolic process (GO:0019637)	133	3	20.03	-	.15	4.30E-06	1.54E-04
phosphorus metabolic process (GO:0006793)	182	4	27.41	-	.15	2.70E-08	1.29E-06
monocarboxylic acid metabolic process (GO:0032787)	95	2	14.31	-	.14	1.88E-04	3.65E-03
carbohydrate derivative biosynthetic process (GO:1901137)	106	2	15.97	-	.13	3.11E-05	8.73E-04
organophosphate biosynthetic process (GO:0090407)	112	2	16.87	-	.12	1.27E-05	3.94E-04
phosphate-containing compound metabolic process (GO:0006796)	177	3	26.66	-	.11	7.59E-09	4.18E-07
purine nucleotide metabolic process (GO:0006163)	64	1	9.64	-	.10	1.82E-03	2.60E-02
phosphorylation (GO:0016310)	67	1	10.09	-	.10	1.17E-03	1.75E-02
nucleotide biosynthetic process (GO:0009165)	73	1	11.00	-	.09	4.85E-04	8.08E-03
nucleoside phosphate biosynthetic process (GO:1901293)	75	1	11.30	-	.09	3.11E-04	5.63E-03
purine-containing compound metabolic process (GO:0072521)	76	1	11.45	-	.09	3.11E-04	5.56E-03
nucleotide metabolic process (GO:0009117)	87	1	13.10	-	.08	8.54E-05	1.97E-03
nucleoside phosphate metabolic process (GO:0006753)	90	1	13.56	-	.07	5.36E-05	1.28E-03
purine ribonucleotide metabolic process (GO:0009150)	47	0	7.08	-	 < 0.01	2.79E-03	3.66E-02
monoatomic ion transmembrane transport (GO:0034220)	58	0	8.74	-	 < 0.01	4.13E-04	7.04E-03
organic anion transport (GO:0015711)	54	0	8.13	-	 < 0.01	6.47E-04	1.06E-02
glutamine family amino acid metabolic process (GO:0009064)	45	0	6.78	-	 < 0.01	2.56E-03	3.50E-02
generation of precursor metabolites and energy (GO:0006091)	47	0	7.08	-	 < 0.01	2.79E-03	3.63E-02
metal ion transport (GO:0030001)	44	0	6.63	-	 < 0.01	2.58E-03	3.49E-02
ribose phosphate biosynthetic process (GO:0046390)	60	0	9.04	-	 < 0.01	2.56E-04	4.83E-03
inorganic cation transmembrane transport (GO:0098662)	54	0	8.13	-	 < 0.01	6.47E-04	1.05E-02
inorganic ion transmembrane transport (GO:0098660)	61	0	9.19	-	 < 0.01	2.59E-04	4.81E-03
monoatomic cation transmembrane transport (GO:0098655)	54	0	8.13	-	 < 0.01	6.47E-04	1.04E-02
ribose phosphate metabolic process (GO:0019693)	65	0	9.79	-	 < 0.01	1.69E-04	3.61E-03
ribonucleotide biosynthetic process (GO:0009260)	58	0	8.74	-	 < 0.01	4.13E-04	6.96E-03
ribonucleotide metabolic process (GO:0009259)	62	0	9.34	-	 < 0.01	2.71E-04	4.97E-03
carboxylic acid transport (GO:0046942)	51	0	7.68	-	 < 0.01	1.02E-03	1.58E-02
organic acid transport (GO:0015849)	51	0	7.68	-	 < 0.01	1.02E-03	1.56E-02
monoatomic cation transport (GO:0006812)	67	0	10.09	-	 < 0.01	1.01E-04	2.30E-03
monoatomic ion transport (GO:0006811)	74	0	11.15	-	 < 0.01	4.05E-05	9.99E-04
