




Analysis Type:	PANTHER Overrepresentation Test (Released 20231017)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-01-05
Analyzed List:	FS_True_MC_False_VG_False.txt (Bacillus subtilis)
Reference List:	reference.txt (Bacillus subtilis)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	reference.txt - REFLIST (883)	FS_True_MC_False_VG_False.txt (2)	FS_True_MC_False_VG_False.txt (expected)	FS_True_MC_False_VG_False.txt (over/under)	FS_True_MC_False_VG_False.txt (fold Enrichment)	FS_True_MC_False_VG_False.txt (raw P-value)	FS_True_MC_False_VG_False.txt (FDR)
macromolecule biosynthetic process (GO:0009059)	148	1	.34	+	2.98	3.09E-01	1.00E00
aromatic compound biosynthetic process (GO:0019438)	156	1	.35	+	2.83	3.23E-01	1.00E00
heterocycle biosynthetic process (GO:0018130)	161	1	.36	+	2.74	3.33E-01	1.00E00
organic cyclic compound biosynthetic process (GO:1901362)	173	1	.39	+	2.55	3.55E-01	1.00E00
nucleobase-containing compound metabolic process (GO:0006139)	178	1	.40	+	2.48	3.64E-01	1.00E00
macromolecule metabolic process (GO:0043170)	188	1	.43	+	2.35	3.82E-01	1.00E00
cellular aromatic compound metabolic process (GO:0006725)	231	1	.52	+	1.91	4.56E-01	1.00E00
heterocycle metabolic process (GO:0046483)	236	1	.53	+	1.87	4.64E-01	1.00E00
organic cyclic compound metabolic process (GO:1901360)	249	1	.56	+	1.77	4.85E-01	1.00E00
cellular nitrogen compound biosynthetic process (GO:0044271)	260	1	.59	+	1.70	5.03E-01	1.00E00
cellular nitrogen compound metabolic process (GO:0034641)	309	1	.70	+	1.43	1.00E00	1.00E00
cellular biosynthetic process (GO:0044249)	406	1	.92	+	1.09	1.00E00	1.00E00
biological_process (GO:0008150)	841	2	1.90	+	1.05	1.00E00	1.00E00
organic substance biosynthetic process (GO:1901576)	435	1	.99	+	1.01	1.00E00	1.00E00
biosynthetic process (GO:0009058)	441	1	1.00	+	1.00	1.00E00	1.00E00
nitrogen compound metabolic process (GO:0006807)	453	1	1.03	-	.97	1.00E00	1.00E00
primary metabolic process (GO:0044238)	497	1	1.13	-	.89	1.00E00	1.00E00
cellular metabolic process (GO:0044237)	609	1	1.38	-	.72	5.25E-01	1.00E00
organic substance metabolic process (GO:0071704)	614	1	1.39	-	.72	5.17E-01	1.00E00
metabolic process (GO:0008152)	663	1	1.50	-	.67	4.37E-01	1.00E00
cellular process (GO:0009987)	777	1	1.76	-	.57	2.27E-01	1.00E00
tRNA wobble adenosine to inosine editing (GO:0002100)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
prosthetic group metabolic process (GO:0051189)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ribonucleoside triphosphate metabolic process (GO:0009199)	13	0	.03	-	 < 0.01	1.00E00	1.00E00
pyrimidine deoxyribonucleoside diphosphate biosynthetic process (GO:0009197)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pyrimidine deoxyribonucleoside diphosphate metabolic process (GO:0009196)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to organic substance (GO:0071310)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleoside diphosphate biosynthetic process (GO:0009194)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleoside diphosphate metabolic process (GO:0009193)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
vitamin transport (GO:0051180)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of nitrogen utilization (GO:0006808)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
calcium ion transmembrane transport (GO:0070588)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
xenobiotic metabolic process (GO:0006805)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
superoxide metabolic process (GO:0006801)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
localization (GO:0051179)	202	0	.46	-	 < 0.01	1.00E00	1.00E00
deoxyribonucleoside diphosphate biosynthetic process (GO:0009189)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ribonucleoside diphosphate biosynthetic process (GO:0009188)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
peptidyl-pyrromethane cofactor linkage (GO:0018160)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
deoxyribonucleoside diphosphate metabolic process (GO:0009186)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ribonucleoside diphosphate metabolic process (GO:0009185)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of nitrogen compound metabolic process (GO:0051173)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of nitrogen compound metabolic process (GO:0051172)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
cell redox homeostasis (GO:0045454)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
cadmium ion transmembrane transport (GO:0070574)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
polysaccharide catabolic process (GO:0000272)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
polysaccharide biosynthetic process (GO:0000271)	9	0	.02	-	 < 0.01	1.00E00	1.00E00
methylglyoxal biosynthetic process (GO:0019242)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
peptidoglycan metabolic process (GO:0000270)	19	0	.04	-	 < 0.01	1.00E00	1.00E00
aminoacyl-tRNA metabolism involved in translational fidelity (GO:0106074)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
citrulline biosynthetic process (GO:0019240)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
thioester biosynthetic process (GO:0035384)	9	0	.02	-	 < 0.01	1.00E00	1.00E00
thioester metabolic process (GO:0035383)	12	0	.03	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside diphosphate metabolic process (GO:0009179)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
xylulose 5-phosphate metabolic process (GO:0051167)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine deoxyribonucleoside monophosphate biosynthetic process (GO:0009177)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pyrimidine deoxyribonucleoside monophosphate metabolic process (GO:0009176)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleoside monophosphate biosynthetic process (GO:0009174)	12	0	.03	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleoside monophosphate metabolic process (GO:0009173)	12	0	.03	-	 < 0.01	1.00E00	1.00E00
purine deoxyribonucleoside monophosphate biosynthetic process (GO:0009171)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
purine deoxyribonucleoside monophosphate metabolic process (GO:0009170)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ketone catabolic process (GO:0042182)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
ketone biosynthetic process (GO:0042181)	12	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular ketone metabolic process (GO:0042180)	16	0	.04	-	 < 0.01	1.00E00	1.00E00
clearance of foreign intracellular DNA (GO:0044355)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mannitol metabolic process (GO:0019594)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
mannitol catabolic process (GO:0019592)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside monophosphate biosynthetic process (GO:0009168)	20	0	.05	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside monophosphate metabolic process (GO:0009167)	21	0	.05	-	 < 0.01	1.00E00	1.00E00
glucose 6-phosphate metabolic process (GO:0051156)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleotide catabolic process (GO:0009166)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular oxidant detoxification (GO:0098869)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleotide biosynthetic process (GO:0009165)	73	0	.17	-	 < 0.01	1.00E00	1.00E00
nucleoside catabolic process (GO:0009164)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleoside biosynthetic process (GO:0009163)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
deoxyribonucleoside monophosphate metabolic process (GO:0009162)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
xenobiotic catabolic process (GO:0042178)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ribonucleoside monophosphate metabolic process (GO:0009161)	35	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription regulatory region DNA binding (GO:2000679)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of transcription regulatory region DNA binding (GO:2000678)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
allantoin metabolic process (GO:0000255)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of transcription regulatory region DNA binding (GO:2000677)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
galacturonate metabolic process (GO:0019586)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
glucuronate metabolic process (GO:0019585)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
sodium-dependent phosphate transport (GO:0044341)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
galactarate metabolic process (GO:0019580)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
quinolinate metabolic process (GO:0046874)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
deoxyribonucleoside monophosphate biosynthetic process (GO:0009157)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
ribonucleoside monophosphate biosynthetic process (GO:0009156)	34	0	.08	-	 < 0.01	1.00E00	1.00E00
purine deoxyribonucleotide biosynthetic process (GO:0009153)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
purine ribonucleotide biosynthetic process (GO:0009152)	43	0	.10	-	 < 0.01	1.00E00	1.00E00
heme metabolic process (GO:0042168)	13	0	.03	-	 < 0.01	1.00E00	1.00E00
purine deoxyribonucleotide metabolic process (GO:0009151)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
purine ribonucleotide metabolic process (GO:0009150)	47	0	.11	-	 < 0.01	1.00E00	1.00E00
aldaric acid catabolic process (GO:0019579)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
aldaric acid metabolic process (GO:0019577)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
L-arabinose catabolic process (GO:0019572)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
respiratory electron transport chain (GO:0022904)	13	0	.03	-	 < 0.01	1.00E00	1.00E00
electron transport chain (GO:0022900)	18	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of protein-containing complex disassembly (GO:0043244)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
uroporphyrinogen III metabolic process (GO:0046502)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside triphosphate biosynthetic process (GO:0009148)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
protoporphyrinogen IX metabolic process (GO:0046501)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside triphosphate metabolic process (GO:0009147)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein-containing complex disassembly (GO:0043242)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
S-adenosylmethionine metabolic process (GO:0046500)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
purine nucleoside triphosphate biosynthetic process (GO:0009145)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
purine nucleoside triphosphate metabolic process (GO:0009144)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
protein import (GO:0017038)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleoside triphosphate biosynthetic process (GO:0009142)	15	0	.03	-	 < 0.01	1.00E00	1.00E00
nucleoside triphosphate metabolic process (GO:0009141)	15	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA 5'-leader removal (GO:0001682)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-arabinose catabolic process to xylulose 5-phosphate (GO:0019569)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
arabinose catabolic process (GO:0019568)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
arabinose metabolic process (GO:0019566)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
glycerol catabolic process (GO:0019563)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular component organization (GO:0051129)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside diphosphate biosynthetic process (GO:0009139)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
acyl-CoA biosynthetic process (GO:0071616)	9	0	.02	-	 < 0.01	1.00E00	1.00E00
bacterial-type flagellum-dependent swarming motility (GO:0071978)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol phosphate biosynthetic process (GO:0046854)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of cellular component organization (GO:0051128)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside diphosphate metabolic process (GO:0009138)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
purine nucleoside diphosphate metabolic process (GO:0009135)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
bacterial-type flagellum-dependent cell motility (GO:0071973)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acid metabolic process (GO:0001676)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleoside diphosphate biosynthetic process (GO:0009133)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway involved in terpenoid biosynthetic process (GO:0051484)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleoside diphosphate metabolic process (GO:0009132)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
terpenoid biosynthetic process, mevalonate-independent (GO:0051483)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside monophosphate biosynthetic process (GO:0009130)	13	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular response to chemical stimulus (GO:0070887)	13	0	.03	-	 < 0.01	1.00E00	1.00E00
histidine catabolic process to glutamate and formate (GO:0019557)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
histidine catabolic process to glutamate and formamide (GO:0019556)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
purine ribonucleotide salvage (GO:0106380)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside monophosphate metabolic process (GO:0009129)	13	0	.03	-	 < 0.01	1.00E00	1.00E00
purine nucleoside monophosphate biosynthetic process (GO:0009127)	21	0	.05	-	 < 0.01	1.00E00	1.00E00
purine nucleoside monophosphate metabolic process (GO:0009126)	22	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of amide metabolic process (GO:0034249)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of amide metabolic process (GO:0034248)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleoside monophosphate biosynthetic process (GO:0009124)	38	0	.09	-	 < 0.01	1.00E00	1.00E00
nucleoside monophosphate metabolic process (GO:0009123)	42	0	.10	-	 < 0.01	1.00E00	1.00E00
deoxyribonucleoside metabolic process (GO:0009120)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
export across plasma membrane (GO:0140115)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA processing (GO:0008033)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
arginine catabolic process to ornithine (GO:0019547)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
propionate catabolic process (GO:0019543)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
propionate metabolic process (GO:0019541)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
carbohydrate phosphorylation (GO:0046835)	9	0	.02	-	 < 0.01	1.00E00	1.00E00
ribonucleoside metabolic process (GO:0009119)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleotide metabolic process (GO:0009117)	87	0	.20	-	 < 0.01	1.00E00	1.00E00
nucleoside metabolic process (GO:0009116)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
hypoxanthine catabolic process (GO:0009114)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to oxidative stress (GO:0034599)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
purine nucleobase biosynthetic process (GO:0009113)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleobase metabolic process (GO:0009112)	25	0	.06	-	 < 0.01	1.00E00	1.00E00
conversion of methionyl-tRNA to N-formyl-methionyl-tRNA (GO:0071951)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nitrate assimilation (GO:0042128)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of DNA binding (GO:0051101)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
vitamin catabolic process (GO:0009111)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of cell population proliferation (GO:0042127)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of binding (GO:0051100)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
vitamin biosynthetic process (GO:0009110)	37	0	.08	-	 < 0.01	1.00E00	1.00E00
nitrate metabolic process (GO:0042126)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
antibiotic catabolic process (GO:0017001)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
antibiotic biosynthetic process (GO:0017000)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
protein metabolic process (GO:0019538)	93	0	.21	-	 < 0.01	1.00E00	1.00E00
negative regulation of gene expression (GO:0010629)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of gene expression (GO:0010628)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
response to external biotic stimulus (GO:0043207)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ethanolamine transport (GO:0034229)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to nitrogen levels (GO:0043562)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lipopolysaccharide biosynthetic process (GO:0009103)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
biotin biosynthetic process (GO:0009102)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
nitrogen cycle metabolic process (GO:0071941)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of intracellular pH (GO:0051453)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycoprotein biosynthetic process (GO:0009101)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycoprotein metabolic process (GO:0009100)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
monoatomic ion transmembrane transport (GO:0034220)	58	0	.13	-	 < 0.01	1.00E00	1.00E00
galactose catabolic process via UDP-galactose (GO:0033499)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
D-gluconate metabolic process (GO:0019521)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
aldonic acid metabolic process (GO:0019520)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
cardiolipin biosynthetic process (GO:0032049)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
selenocysteine biosynthetic process (GO:0016260)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cardiolipin metabolic process (GO:0032048)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
carbohydrate transmembrane transport (GO:0034219)	29	0	.07	-	 < 0.01	1.00E00	1.00E00
quinolinate catabolic process (GO:0034213)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA modification (GO:0009451)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
gamma-aminobutyric acid catabolic process (GO:0009450)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
L-threonine catabolic process to glycine (GO:0019518)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
selenocysteine metabolic process (GO:0016259)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lysine biosynthetic process via aminoadipic acid (GO:0019878)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
diaminopimelate biosynthetic process (GO:0019877)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cell shape (GO:0008360)	13	0	.03	-	 < 0.01	1.00E00	1.00E00
post-transcriptional regulation of gene expression (GO:0010608)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of macromolecule metabolic process (GO:0010605)	9	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of macromolecule metabolic process (GO:0010604)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
molybdopterin cofactor metabolic process (GO:0043545)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
gamma-aminobutyric acid metabolic process (GO:0009448)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
'de novo' IMP biosynthetic process (GO:0006189)	13	0	.03	-	 < 0.01	1.00E00	1.00E00
IMP biosynthetic process (GO:0006188)	14	0	.03	-	 < 0.01	1.00E00	1.00E00
putrescine biosynthetic process (GO:0009446)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
putrescine metabolic process (GO:0009445)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
signaling (GO:0023052)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
GTP biosynthetic process (GO:0006183)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ribonucleoside biosynthetic process (GO:0042455)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
ribonucleoside catabolic process (GO:0042454)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
organelle disassembly (GO:1903008)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
L-methionine salvage from methylthioadenosine (GO:0019509)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
purine nucleoside biosynthetic process (GO:0042451)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
arginine biosynthetic process via ornithine (GO:0042450)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
uracil metabolic process (GO:0019860)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
methylglyoxal metabolic process (GO:0009438)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
guanine salvage (GO:0006178)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
GMP biosynthetic process (GO:0006177)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
NAD biosynthetic process (GO:0009435)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell division (GO:0051781)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
dAMP biosynthetic process (GO:0006170)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
thymine metabolic process (GO:0019859)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pigment metabolic process (GO:0042440)	13	0	.03	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleobase biosynthetic process (GO:0019856)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
tetrahydrofolate interconversion (GO:0035999)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
1-deoxy-D-xylulose 5-phosphate biosynthetic process (GO:0052865)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
1-deoxy-D-xylulose 5-phosphate metabolic process (GO:0052863)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
adenine salvage (GO:0006168)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
AMP biosynthetic process (GO:0006167)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside salvage (GO:0006166)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of core promoter binding (GO:1904798)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
chorismate biosynthetic process (GO:0009423)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of core promoter binding (GO:1904797)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
purine nucleotide biosynthetic process (GO:0006164)	53	0	.12	-	 < 0.01	1.00E00	1.00E00
regulation of core promoter binding (GO:1904796)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
purine nucleotide metabolic process (GO:0006163)	64	0	.14	-	 < 0.01	1.00E00	1.00E00
indole-containing compound biosynthetic process (GO:0042435)	9	0	.02	-	 < 0.01	1.00E00	1.00E00
hydrogen sulfide biosynthetic process (GO:0070814)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
hydrogen sulfide metabolic process (GO:0070813)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
indole-containing compound metabolic process (GO:0042430)	9	0	.02	-	 < 0.01	1.00E00	1.00E00
iron-sulfur cluster assembly (GO:0016226)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
