




Analysis Type:	PANTHER Overrepresentation Test (Released 20231017)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-01-05
Analyzed List:	FS_True_MC_None_VG_None.txt (Bacillus subtilis)
Reference List:	reference.txt (Bacillus subtilis)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	reference.txt - REFLIST (883)	FS_True_MC_None_VG_None.txt (173)	FS_True_MC_None_VG_None.txt (expected)	FS_True_MC_None_VG_None.txt (over/under)	FS_True_MC_None_VG_None.txt (fold Enrichment)	FS_True_MC_None_VG_None.txt (raw P-value)	FS_True_MC_None_VG_None.txt (FDR)
primary metabolic process (GO:0044238)	497	144	97.37	+	1.48	4.59E-12	3.87E-10
nitrogen compound metabolic process (GO:0006807)	453	130	88.75	+	1.46	5.37E-09	3.21E-07
organic cyclic compound metabolic process (GO:1901360)	249	69	48.78	+	1.41	2.75E-03	3.97E-02
organonitrogen compound metabolic process (GO:1901564)	385	99	75.43	+	1.31	1.12E-03	1.98E-02
organic substance metabolic process (GO:0071704)	614	156	120.30	+	1.30	2.20E-09	1.66E-07
cellular metabolic process (GO:0044237)	609	154	119.32	+	1.29	9.84E-09	5.64E-07
metabolic process (GO:0008152)	663	156	129.90	+	1.20	5.70E-06	2.33E-04
cellular process (GO:0009987)	777	166	152.23	+	1.09	1.11E-03	1.99E-02
small molecule metabolic process (GO:0044281)	433	57	84.83	-	.67	1.17E-04	2.84E-03
phosphorus metabolic process (GO:0006793)	182	18	35.66	-	.50	1.37E-03	2.23E-02
phosphate-containing compound metabolic process (GO:0006796)	177	16	34.68	-	.46	5.26E-04	1.06E-02
organic substance transport (GO:0071702)	120	9	23.51	-	.38	1.36E-03	2.23E-02
organic substance catabolic process (GO:1901575)	131	8	25.67	-	.31	1.11E-04	2.75E-03
catabolic process (GO:0009056)	132	8	25.86	-	.31	7.63E-05	2.18E-03
alpha-amino acid biosynthetic process (GO:1901607)	90	5	17.63	-	.28	1.19E-03	1.98E-02
small molecule catabolic process (GO:0044282)	84	4	16.46	-	.24	7.80E-04	1.47E-02
amino acid biosynthetic process (GO:0008652)	107	5	20.96	-	.24	7.51E-05	2.19E-03
phosphorylation (GO:0016310)	67	3	13.13	-	.23	2.37E-03	3.49E-02
localization (GO:0051179)	202	9	39.58	-	.23	5.11E-09	3.49E-07
establishment of localization (GO:0051234)	202	9	39.58	-	.23	5.11E-09	3.33E-07
transport (GO:0006810)	202	9	39.58	-	.23	5.11E-09	3.18E-07
alpha-amino acid metabolic process (GO:1901605)	117	5	22.92	-	.22	2.17E-05	7.76E-04
transmembrane transport (GO:0055085)	186	7	36.44	-	.19	3.00E-09	2.15E-07
carboxylic acid catabolic process (GO:0046395)	48	1	9.40	-	.11	2.45E-03	3.58E-02
organic acid catabolic process (GO:0016054)	50	1	9.80	-	.10	1.58E-03	2.48E-02
nucleoside monophosphate biosynthetic process (GO:0009124)	38	0	7.45	-	 < 0.01	1.41E-03	2.27E-02
vitamin biosynthetic process (GO:0009110)	37	0	7.25	-	 < 0.01	2.31E-03	3.52E-02
monoatomic ion transmembrane transport (GO:0034220)	58	0	11.36	-	 < 0.01	3.29E-05	1.10E-03
carbohydrate transport (GO:0008643)	37	0	7.25	-	 < 0.01	2.31E-03	3.48E-02
organic anion transport (GO:0015711)	54	0	10.58	-	 < 0.01	8.56E-05	2.40E-03
glutamine family amino acid metabolic process (GO:0009064)	45	0	8.82	-	 < 0.01	5.97E-04	1.17E-02
generation of precursor metabolites and energy (GO:0006091)	47	0	9.21	-	 < 0.01	3.60E-04	7.58E-03
water-soluble vitamin biosynthetic process (GO:0042364)	36	0	7.05	-	 < 0.01	2.24E-03	3.45E-02
metal ion transport (GO:0030001)	44	0	8.62	-	 < 0.01	5.60E-04	1.11E-02
energy derivation by oxidation of organic compounds (GO:0015980)	37	0	7.25	-	 < 0.01	2.31E-03	3.45E-02
organic hydroxy compound metabolic process (GO:1901615)	38	0	7.45	-	 < 0.01	1.41E-03	2.25E-02
inorganic cation transmembrane transport (GO:0098662)	54	0	10.58	-	 < 0.01	8.56E-05	2.36E-03
inorganic ion transmembrane transport (GO:0098660)	61	0	11.95	-	 < 0.01	2.04E-05	7.88E-04
monoatomic cation transmembrane transport (GO:0098655)	54	0	10.58	-	 < 0.01	8.56E-05	2.31E-03
carboxylic acid transport (GO:0046942)	51	0	9.99	-	 < 0.01	1.36E-04	3.19E-03
organic acid transport (GO:0015849)	51	0	9.99	-	 < 0.01	1.36E-04	3.14E-03
amino acid transport (GO:0006865)	41	0	8.03	-	 < 0.01	8.84E-04	1.62E-02
monoatomic cation transport (GO:0006812)	67	0	13.13	-	 < 0.01	8.12E-06	3.23E-04
monoatomic ion transport (GO:0006811)	74	0	14.50	-	 < 0.01	1.85E-06	7.79E-05
